Item,Test code,Trade name,Generic name,Drug form,Dasage,Batch numbers,Exp.Date,Manufacturer,Country,Content/value deviation, API test result,Accepted range,Test result 0=Substadard 1=Meet standard 
1,ICARS:24.07.25.028,AMPICILLIN,Ampicillin,Capsules,500mg,2445003,05.2027,KPN,Laos,0.5899 g        (-3.8 ; 1.7),90.6%,90.0 - 110.0%,1
2,ICARS:24.07.25.029,AMOXYCILLINE,Amoxicillin,Capsules,500mg,2446002,03.2027,KPN,Laos,0.5649 g        (-4.1 ; 3.1),100.5%,90.0 - 110.0%,1
3,ICARS:24.07.25.030,METHROZOL 500,Metronidazole,Tablets,500mg,030323,03.2026,CBF,Laos,0.5663 g        (-3.3 ; 4.0),96.0%,93.0 - 107.0%,1
4,ICARS:24.07.25.031,METROZOL 500,Metronidazole,Tablets,500mg,040423,04.2026,CBF,Laos,0.5627 g        (-3.8 ; 4.6),99.5%,93.0 - 107.0%,1
5,ICARS:24.07.25.032,HEROL- 500,Tetracycline,Capsules,500mg,2202002,03.2025,KPN,Laos,0.5678 g        (-3.7 ; 3.7),96.8%,90.0 - 110.0%,1
6,ICARS:24.07.25.033,DOXYCYCLINE,Doxycycline,Capsules,100mg,312201,01.2026,Coduphar,Laos,0.2497 g        (-4.5 ; 5.9),103.7%,90.0 - 120.0%,1
7,ICARS:24.07.25.034,PENICILLINE V,Penicillin,Tablets,400.000IU,301104,10.2025,Coduphar,Laos,0.3895 g        (-3.1 ; 1.4),99.6%,90.0 - 120.0%,1
8,ICARS:24.07.25.035,TETRACYCLIN,Tetracycline,Tablets,250mg,216102,03.2026,Coduphar,Laos,0.3876         (-6.0 ; 4.3),94.0%,90.0 - 110.0%,1
9,ICARS:24.07.25.036,ERY 250,Erythromycin,Tablets,250mg,050723,01.2026,CBF,Laos,0.3692 g        (-7.4 ; 5.3),105.6%,90.0 - 120.0%,1
10,ICARS:24.07.25.037,T.V.MOX 500,Amoxicillin,capsules,500mg,090722,9/7/26,T.MAN,Thailand,0.6052 g        (-1.4 ; 1.5),100.1%,90.0 - 110.0%,1
11,ICARS:24.07.25.038,CHLORAMPHENICOL,Chloramphenicol,capsules,250mg,213305,07.2025,Coduphar,Laos,0.3956 g        (-4.9 ; 3.9),99.3%,90.0 - 110.0%,1
12,ICARS:24.07.25.039,AMPI - 500,Ampicillin,capsules,500mg,709230602,06.2026,Lao ALiiance,Laos,0.5921 g        (-2.3 ; 1.2),102.1%,90.0 - 110.0%,1
